,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
247,Ranu Thai Food,"Providing the best Thai food experience with fresh, quality and authentic ingredients.",,http://ranuthai.ca/,Hot Eats,3308 Lake Shore Blvd W,302846.115,4828334.528,-79.5240071657,43.596949704,116647.0,248,POINT (-79.5240071656975 43.5969497039666)
248,Refinery Public House,"Come and enjoy some beer, wine, spirits and a great tasting menu. Trivia nights on Wednesday and live music Fridays, Saturdays, and Sundays.",,http://refinerypublichouse.com/,Hot Eats,"-79.5091136615,43.5996993802",304048.32,4828640.759,-79.5091136615,43.5996993802,116679.0,249,POINT (-79.5091136615 43.5996993802)
249,Richview Bakery & Bistro,An amazing Italian style bistro with a daily hot buffet table.,https://www.facebook.com/pages/Richview-Bakery/180264432018881,,Hot Eats,250 Wincott Dr,301012.373,4837528.657,-79.5467827384,43.6797007879,116649.0,250,POINT (-79.546782738432 43.679700787862)
250,Royal Meats Barbeque,Choose fresh meats from the butcher counter and have it grilled before your eyes.,,http://royalmeats.ca/,Hot Eats,710 Kipling Ave,302446.441,4831516.58,-79.5289697965,43.6255906965,116650.0,251,POINT (-79.5289697965183 43.6255906964544)
251,SanRemo Bakery & Cafe,"An Italian bakery proving their passion for food, coffee and exceptional service since 1969.",,http://www.sanremobakery.com/,Hot Eats,374 Royal York Rd,304807.298,4830735.525,-79.4997153387,43.6185636422,116654.0,252,POINT (-79.4997153386913 43.6185636421993)
252,Santa Monica Trattoria,Delectable Mediterranean- Italian trattoria with an eclectic contemporary decor.,,http://www.santamonicarestaurant.ca/,Hot Eats,"-79.498421467,43.6275471275",304911.449,4831734.509,-79.498421467,43.6275471275,116684.0,253,POINT (-79.498421467 43.6275471275)
253,Seconds Kitchen at Rabba,Come on in to Rabba and dine-in or take-out our fantastic fresh salads and sandwiches- perfect for lunch!,,,Hot Eats,4201 Bloor St W,299710.826,4832593.479,-79.5628784905,43.6352714171,116512.0,254,POINT (-79.5628784905492 43.6352714171431)
254,South Shore Bar & Grill,Great pub and grill in Etobicoke serving pub fare and snacks.,,,Hot Eats,264 Brown's Line,301216.02,4828517.129,-79.544197693,43.598587293,116513.0,255,POINT (-79.5441976929685 43.5985872929701)
255,Spoon and Fork - Eglinton,"An inspiring Japanese and Thai restaurant, combining an eclectic upscale atmosphere with excellent food and efficient service.",,http://www.spoonandfork.ca/,Hot Eats,5555 Eglinton Ave W,296432.104,4834237.696,-79.6035400499,43.6500416063,116652.0,256,POINT (-79.6035400499327 43.6500416063359)
256,Spoon and Fork - The Queensway,"An inspiring Japanese and Thai restaurant, combining an eclectic upscale atmosphere with excellent food and efficient service.",,http://www.spoonandfork.ca/spoon-and-fork-queensway/welcome/,Hot Eats,1233 The Queensway,302784.349,4831030.774,-79.5247810332,43.621218681,116514.0,257,POINT (-79.52478103321739 43.6212186809983)
257,Squire & Firkin Pub,"Hang out with friends and family for brunch, lunch and dinner or any sporting event with great food.",,http://www.firkinpubs.com/thesquireandfirkin/,Hot Eats,3335 Bloor St W,303066.877,4833665.957,-79.52128748,43.6449390122,116515.0,258,POINT (-79.5212874800325 43.6449390122265)
258,St. James Gate Irish Pub & Restaurant,Irish alehouse and restaurant featuring fine foods and a friendly social atosphere.,,http://www.sjgtoronto.ca/,Hot Eats,"-79.5335871749,43.6438886886",302074.31,4833550.518,-79.5335871749,43.6438886886,116685.0,259,POINT (-79.53358717490001 43.6438886886)
259,Stratosphere Restaurant & Lounge,"Family-friendly gastro pub featuring homemade fresh food in a comfortable, clean and fun atmosphere.",,,Hot Eats,2956 Bloor St W,304098.835,4834036.86,-79.5084969451,43.6482798183,116517.0,260,POINT (-79.5084969450773 43.6482798182599)
260,Sweet Olenka's - Jutland,"Proudly serving handcrafted single batch ice cream, exquisite artisanal chocolate, artsy delightful cakes, confections of all sorts and famous cakesters.",https://www.facebook.com/pages/Sweet-Olenkas/158742774172310?fref=ts,,Hot Eats,23 Jutland Rd,302690.42,4831621.568,-79.5259469827,43.6265363911,116518.0,261,POINT (-79.5259469826665 43.6265363911425)
261,Sweet Olenka's - Lakeshore,"Handcrafted single batch ice cream, exquisite artisanal chocolate, artsy delightful cakes, confections of all sorts and famous cakesters.",https://www.facebook.com/pages/Sweet-Olenkas/158742774172310?fref=ts,,Hot Eats,"-79.5002810015,43.6021418607",304761.385,4828912.086,-79.5002810015,43.6021418607,116686.0,262,POINT (-79.5002810015 43.6021418607)
262,Tartistry,"A butter tart café with live Jazz music on Saturdays, furnished with art and antiques for sale.",,http://www.tartistry.ca/,Hot Eats,1252 The Queensway,302752.994,4831073.236,-79.5251696815,43.6216008074,116520.0,263,POINT (-79.5251696815349 43.6216008074322)
263,Tessie McDaids Irish Pub,"A great friendly place, where everyone who comes in leaves, with a good impression.",https://www.facebook.com/tessiemcdaids,,Hot Eats,5078 Dundas St W,302190.363,4833728.439,-79.532152741,43.6454990884,116521.0,264,POINT (-79.5321527409556 43.6454990884131)
264,The Crooked Cue,A Kingsway neighbourhood tradition for the last 23 years features a newly renovated restaurant area with a retractable roof.,,http://www.crookedcue.ca/,Hot Eats,3056 Bloor St W,303722.709,4833912.326,-79.513155651,43.647149629,116522.0,265,POINT (-79.51315565100001 43.647149629)
265,The Irish Shebeen Pub,"Delicious pub fare, a great selection of on tap beers and weekly live entertainment ¿ you¿re sure to have a great time!",,http://www.irishshebeen.com/,Hot Eats,5555 Eglinton Ave W,296432.104,4834237.696,-79.6035400499,43.6500416063,116523.0,266,POINT (-79.6035400499327 43.6500416063359)
266,The Kebab House,"Great Middle Eastern cuisine including fast food, kebab and shawarma.",,,Hot Eats,2977 Lake Shore Blvd W,304231.438,4828694.164,-79.5068486721,43.6001887661,116524.0,267,POINT (-79.5068486721279 43.6001887660996)
267,The Mix Bake Shop,The Mix Bake Shop offers fresh and delicious cakes made from only the finest ingredients that are wholesome and not too sweet.,,http://www.themixbakeshop.com/,Hot Eats,374 Brown's Line,301149.109,4828729.096,-79.5450276827,43.6004951912,116525.0,268,POINT (-79.5450276826808 43.600495191201)
268,The Monk's Kettle,A craft beer gastro pub featuring local breweries and fresh fare.,,http://themonkskettle.com/,Hot Eats,3073 Bloor St W,303674.197,4833850.541,-79.513760088,43.6466019639,116526.0,269,POINT (-79.5137600879571 43.6466019639104)
269,The Pie Commission,"Proud to serve handmade, gourmet and individual serving sized savoury pies.",,http://piecommission.com/,Hot Eats,935 The Queensway,303787.514,4831313.774,-79.5123516912,43.6237678426,116527.0,270,POINT (-79.5123516911769 43.6237678426128)
270,The Red Cardinal Tavern,"Looking for a traditional English pub? From brunch to late night dinner munchies and drinks, The Red Cardinal Tavern has something for everyone.",,http://www.theredcardinaltavern.com/,Hot Eats,555 Burnhamthorpe Rd,299296.323,4833635.96,-79.5680266542,43.6446521816,116528.0,271,POINT (-79.56802665420609 43.6446521815539)
271,The Wokker,"Specializes in Chinese cuisine, serving Cantonese and Szechuan food and crowd-pleasing dim sum since 1987.",,http://www.thewokker.com/,Hot Eats,5555 Eglinton Ave W,296432.104,4834237.696,-79.6035400499,43.6500416063,116529.0,272,POINT (-79.6035400499327 43.6500416063359)
272,Thrive Organic Kitchen & Cafe,"Promoting healthy and vibrant lifestyles by using all natural, pur and organic whole food ingredients.",,http://www.thriveorganic.ca/,Hot Eats,3473 Lake Shore Blvd W,302329.04,4828107.386,-79.5304104331,43.5949034235,116530.0,273,POINT (-79.5304104330943 43.5949034234552)
273,Thyme 4 Pizza & Pasta,"Authentic Italian inspired pizza and pasta dishes, also offering a free delivery service!",,http://www.thyme4.ca,Hot Eats,890 The Queensway,303862.064,4831411.11,-79.5114280892,43.6246440665,116531.0,274,POINT (-79.5114280892343 43.6246440664714)
274,Tim Hortons - Eglinton,"Serving coffee since 1964. The chain's focus is on a top quality, always fresh product, value, great service and community leadership.",,http://timhortons.com/,Hot Eats,5555 Eglinton Ave W,296432.104,4834237.696,-79.6035400499,43.6500416063,116532.0,275,POINT (-79.6035400499327 43.6500416063359)
275,Timothy's Pub,Etobicoke's friendly meeting place and a live entertainment destination with daily food and drink specials.,,http://timothyspub.ca/,Hot Eats,"-79.5448879002,43.6001357448",301160.108,4828690.111,-79.5448879002,43.6001357448,116687.0,276,POINT (-79.5448879002 43.6001357448)
276,Two Cupcakes and a Tart Bake Shoppe & Deli,"Come in for a selection of fresh baked bread, sweets and pastries, and an array of deli meats and cheeses.",,http://twocupcakesandatart.ca/,Hot Eats,1500 Royal York Rd,302217.101,4838853.503,-79.5318478771,43.6916310475,116534.0,277,POINT (-79.5318478770772 43.6916310475357)
277,ViBo Restaurant,Vibo has been a staple in the Kingsway area for more than 40 years. Enjoy authentic Italian flavours and great service!,,http://www.vibo.ca/,Hot Eats,2995 Bloor St W,303981.434,4833941.351,-79.5099520311,43.6474199009,116535.0,278,POINT (-79.50995203106071 43.6474199009086)
278,West City Snack Bar,"Serving a variety of lunch and dinner favourites, from various cuisines with an emphasis on local produce.",,http://westcitysnackbar.com/,Hot Eats,430 Horner Ave,301800.763,4829105.689,-79.536958182,43.6038877595,116536.0,279,POINT (-79.5369581819739 43.6038877595134)
279,Wingporium,"Serving fresh chicken wings, fine European beer and afternoon domestic beer specials.",,http://wingporium.ca/,Hot Eats,1000 Islington Ave,303307.506,4832005.985,-79.518297915,43.629989401,116537.0,280,POINT (-79.51829791500001 43.629989401)
280,Wize Guyz Pizza,Great Italian restaurant offering the best pizza in Etobicoke!,,http://wizeguyz.com/,Hot Eats,934 The Queensway,303809.225,4831392.533,-79.5120828074,43.6244767953,116538.0,281,POINT (-79.51208280737499 43.6244767952688)
281,Albion Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB04&R=LIB04,Library,1515 Albion Rd,298004.688,4844214.531,-79.5841715156,43.7398614595,116539.0,282,POINT (-79.58417151560231 43.7398614595396)
282,Alderwood Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB020&R=LIB020,Library,2 Orianna Dr,300961.238,4828885.845,-79.5473557747,43.6019052149,116540.0,283,POINT (-79.5473557747486 43.6019052148547)
283,Black Creek Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB027&R=LIB027,Library,1700 Wilson Ave,303774.834,4842112.508,-79.5125311905,43.7209712989,116541.0,284,POINT (-79.5125311904614 43.7209712988873)
284,Brentwood Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB07&R=LIB07,Library,36 Brentwood Rd N,303629.77,4833942.913,-79.5143109974,43.6474333611,116598.0,285,POINT (-79.514310997354 43.6474333610617)
285,Eatonville Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB041&R=LIB041,Library,430 Burnhamthorpe Rd,299997.385,4833800.666,-79.5593382617,43.6461396036,116599.0,286,POINT (-79.55933826165079 43.6461396035608)
286,Elmbrook Park Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB043&R=LIB043,Library,2 Elmbrook Cres,298015.896,4835335.697,-79.583916953,43.659932807,116600.0,287,POINT (-79.583916953 43.659932807)
287,Humber Bay Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB052&R=LIB052,Library,200 Park Lawn Rd,305490.191,4832042.061,-79.4912526733,43.6303240163,116601.0,288,POINT (-79.4912526732716 43.6303240163412)
288,Humber Summit Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB055&R=LIB055,Library,2990 Islington Ave,299018.998,4846344.929,-79.571599292,43.75903803,116602.0,289,POINT (-79.571599292 43.75903803)
289,Jane/Dundas Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB055&R=LIB055,Library,620 Jane St,305472.241,4835946.894,-79.4914703074,43.6654731911,116603.0,290,POINT (-79.49147030740809 43.6654731911358)
290,Long Branch Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB061&R=LIB061,Library,3500 Lake Shore Blvd W,302255.178,4828153.066,-79.5313254564,43.5953143642,116604.0,291,POINT (-79.53132545640401 43.5953143641675)
291,Mimico Centennial Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB065&R=LIB065,Library,47 Station Rd,305289.183,4830317.593,-79.4937450535,43.6148016189,116605.0,292,POINT (-79.4937450534908 43.6148016189005)
292,Mount Dennis Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB067&R=LIB067,Library,1123 Weston Rd,305733.723,4838298.419,-79.4882246775,43.6866398039,116606.0,293,POINT (-79.4882246775262 43.6866398038848)
293,New Toronto Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB069&R=LIB069,Library,110 Eleventh St,303998.553,4828589.319,-79.5097333483,43.5992448952,116607.0,294,POINT (-79.5097333483147 43.5992448952366)
294,Northen Elms Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB070&R=LIB070,Library,123 Rexdale Blvd,299526.71,4841049.437,-79.5652441779,43.7113836679,116608.0,295,POINT (-79.5652441778759 43.7113836679229)
295,Rexdale Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB079&R=LIB079,Library,2243 Kipling Ave,298887.071,4842691.609,-79.5731999755,43.7261607873,116609.0,296,POINT (-79.5731999754978 43.7261607872914)
296,Richview Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB016&R=LIB016,Library,1806 Islington Ave,301468.719,4837943.083,-79.5411253813,43.6834331389,116610.0,297,POINT (-79.5411253813306 43.6834331389291)
297,Weston Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB093&R=LIB093,Library,2 King St,303125.354,4839985.162,-79.5205848964,43.7018204059,116611.0,298,POINT (-79.5205848963752 43.7018204058879)
298,Woodview Park Library,One of 100 Toronto Public Libraries across the city.,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB095&R=LIB095,Library,16 Bradstock Rd,301698.411,4844171.134,-79.538311014,43.739487341,116612.0,299,POINT (-79.538311014 43.739487341)
299,Humber Bay Shores Park,"Humber Bay Shores Park is one of a number of parks along the Etobicoke lakeshore that are connected by the Martin Goodman Trail, which stretches from downtown Toronto. Cyclists can access the park from downtown on this trail. This park is listed as one o",,http://www1.toronto.ca/parks/prd/facilities/complex/2054/,Nature,"-79.475690,43.628144",306745.864,4831801.037,-79.47569,43.628144,116613.0,300,POINT (-79.47569 43.628144)
300,Humber Bay Butterfly Habitat,"The Humber Bay Butterfly Habitat provides a critical habitat for a variety of butterfly species with its diverse range of wildflowers, grasses, shrubs and trees. With over a hectare of land, there are natural elements available to support butterflies in",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=95e8dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default,Nature,"-79.477272,43.624203",306618.295,4831363.184,-79.477272,43.624203,116614.0,301,POINT (-79.477272 43.624203)
301,Humber Bay Park East,"Humber Bay Park East and West are man-made land extensions. Today, Humber Bay Park East offers great views of Lake Ontario, the city's skyline and trails for walking, biking and hiking. It is also home to a variety of wildlife.",,http://www1.toronto.ca/parks/prd/facilities/complex/1073/,Nature,"-79.475516,43.621706",306760.089,4831085.828,-79.475516,43.621706,116615.0,302,POINT (-79.475516 43.621706)
302,Humber Bay Park West,"With its trails, picnic areas and an off-leash area for dogs, Humber Bay Park West is a great spot to enjoy a stroll or a fun family activity. It offers a gorgeous view of Lake Ontario and many bird species can be spotted. Public boat launches are also a",,http://www1.toronto.ca/parks/prd/facilities/complex/1074/,Nature,"-79.477413,43.616538",306607.125,4830511.657,-79.477413,43.616538,116616.0,303,POINT (-79.477413 43.616538)
303,Christ Church Mimico Memorial Garden,"This park commemorates the oldest Anglican congregation in Mimico, established in 1827. Before the church was built services were conducted in the home of local John William Gamble, until he donated land on Church Street (Royal York Road) in 1832 for Chr",,,Nature,"-79.498189805,43.616924135",304930.155,4830554.342,-79.498189805,43.616924135,116671.0,304,POINT (-79.498189805 43.616924135)
304,The Gatehouse Transformational Healing Garden,The Healing Garden was created in 2014 by The Gatehouse staff and community volunteers. Take a moment and sit on the benches in the garden if you wish to take a rest. The Gatehouse is part of the Lakeshore Grounds.,,,Nature,"-79.513471,43.598589",303696.54,4828517.431,-79.513471,43.598589,116618.0,305,POINT (-79.513471 43.598589)
305,Colonel Samuel Smith Park,"Part of the Lakeshore Grounds, surrounding the beautiful historical buildings, Colonel Samuel Smith Park continues to be treasured and well-used by the community, offering remarkable vistas of Lake Ontario. People of all ages enjoy the extensive parkland",,http://www1.toronto.ca/parks/prd/facilities/complex/466/,Nature,"-79.511788,43.591600",303832.281,4827740.998,-79.511788,43.5916,117038.0,306,POINT (-79.511788 43.5916)
306,Ice Skating Trail,"Located adjacent to the Power House is Toronto's first and only outdoor skating trail running the length of 250 metres in a unique figure-eight shape. Although there is no public skate rental, the Power House offers a place to warm up and put your skates",,,Nature,"-79.515585,43.592803",303525.737,4827874.678,-79.515585,43.592803,116619.0,307,POINT (-79.515585 43.592803)
307,Centennial Park,"Centennial Park is Toronto's second largest park (212 hectares). It was created in the 1960s to celebrate Canada's 100th birthday. The park opened in 1967 and was formerly part of Hiron's Dairy farm, one of Toronto's last working farms. Centennial Park h",,http://www1.toronto.ca/parks/prd/facilities/complex/798/,Nature,"-79.589597,43.654201",297557.081,4834699.418,-79.589597,43.654201,116620.0,308,POINT (-79.589597 43.654201)
308,Centennial Park Conservatory,"The Centennial Park Conservatory is a wonderful retreat from the winter blues or simply to bask in the beauty of nature. Built in 1970 at 1,114.84 square metres, the
conservatory now covers roughly 2,415.48 square metres featuring a number of native and",,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=a7b9dada600f0410VgnVCM10000071d60f89RCRD,Nature,"-79.587933,43.649599",297690.746,4834188.014,-79.587933,43.649599,116702.0,309,POINT (-79.58793300000001 43.649599)
309,Tom Riley Park,"Tom Riley Park, runs down the Mimico Creek valley from Dundas Street to Bloor Street. The park, originally known as Central Park, opened in two sections in 1941 and 1944 on land donated by the Montgomery family and J.A.L. MacPherson, respectively. It was",,http://www1.toronto.ca/parks/prd/facilities/complex/837/,Nature,"-79.520313,43.647182",303145.291,4833916.072,-79.520313,43.647182,116542.0,310,POINT (-79.520313 43.647182)
310,New Horizons Community Garden,"New Horizons Community Garden was founded in 2007 by members of the Multicultural Association of Bosnian Seniors and their Friends. Here, Bosnians from different parts of the former Yugoslavia have turned empty plots of land into thriving gardens. Severa",,,Nature,"-79.518774,43.646233",303269.425,4833810.605,-79.518774,43.646233,116543.0,311,POINT (-79.51877399999999 43.646233)
311,Montgomery's Meadow,"Montgomery¿s Meadow was created in 1997 by volunteers who planted a meadow of native wildflowers and grasses. By replacing the lawn with native plants, the land became a home for rabbits, mice, chipmunks, groundhogs, butterflies and song birds, creating",,,Nature,"-79.524718,43.651020",302790.054,4834342.572,-79.524718,43.65102,116544.0,312,POINT (-79.52471799999999 43.65102)
312,Mabelle Park,"Mabelle Park shows ongoing community work run by MABELLEarts called A Park of Many Paths. The project brings artists and residents together to transform and animate the park. Mabelle Park is used as an outdoor kitchen, has community gardens and holds per",,,Nature,"-79.528241,43.645591",302505.672,4833739.508,-79.528241,43.645591,116545.0,313,POINT (-79.52824099999999 43.645591)
313,James Gardens,"Its beautiful stone pathways, ponds and the mature trees make this a popular destination for flora lovers and photographers. It is also a great spot for walkers and hikers with access to trails along the Humber River. James Gardens is named after Frederi",,http://www1.toronto.ca/parks/prd/facilities/complex/3/,Nature,61A Edgehill Rd,303404.222,4836543.463,-79.517111085,43.670832726,116546.0,314,POINT (-79.517111085 43.670832726)
314,Lambton Woods,"Lambton Woods is a green space located on the west bank of the Humber River filled with mature trees, animals and birds. Be sure to take a moment to look up and around to spot the many birds living here. This part of the land was known as Lambton Mills.",,,Nature,"-79.514623,43.665707",303604.728,4835973.97,-79.514623,43.665707,116547.0,315,POINT (-79.514623 43.665707)
315,Étienne Brûlé Parkette,"This parkette is named after Étienne Brûlé, interpreter, explorer and the first European to see Lake Ontario (1615), including the mouth of the Humber River. Look out for a rock with a large blue plaque located in the park to read more about the history",,,Nature,13 Crosby Ave,304746.1,4835455.882,-79.500470518,43.661044868,116548.0,316,POINT (-79.500470518 43.661044868)
316,King's Mill Park,King's Mill was located on the west bank of the Humber River at the site of the Old Mill Toronto today. It was a part of Lieutenant Governor John Grave Simcoe's settlement program in Upper Canada. It supplied wood for the construction of Fork York and ea,,http://www1.toronto.ca/parks/prd/facilities/complex/1080/,Nature,9 Catherine St,305538.871,4834376.744,-79.490643509,43.651330761,116549.0,317,POINT (-79.49064350899999 43.651330761)
317,Humber Marshes Park,"Humber Marshes Park is surrounded by the Humber Marshes, a wetland area providing a year-round breeding habitat for many species of birds, fish and plants. The marsh levee ponds have remained the same for over 2,000 years. It is also a corridor for migra",,http://www1.toronto.ca/parks/prd/facilities/complex/464/,Nature,"-79.490769,43.642091",305528.846,4833350.262,-79.490769,43.642091,116550.0,318,POINT (-79.490769 43.642091)
318,South Humber Park,South Humber Park is a small park along the south Humber River that offers trails to walk close to the river.,,http://www1.toronto.ca/parks/prd/facilities/complex/1486/,Nature,"-79.479165,43.636546",306465.214,4832734.382,-79.479165,43.636546,116551.0,319,POINT (-79.47916499999999 43.636546)
319,Sheldon Lookout,Sheldon Lookout is a great spot to enjoy and photograph Toronto's skyline and Humber River Bicycle-Pedestrian Bridge. There are small plaques on a rock showing where the sun rises at different times of the year.,,,Nature,"-79.470945,43.630780",307128.701,4832093.985,-79.470945,43.63078,116552.0,320,POINT (-79.470945 43.63078)
320,The Guardians,"The Guardians is a series of five raven sculptures commissioned by the City of Toronto created by artist Amy Switzer in 2002 at the gerden of Humber Bay Butterfly Habitat. Birds living in the ares has adopted the sculptures, creating their own nests in t",,,Public Art,"-79.477289,43.624176",306616.924,4831360.184,-79.477289,43.624176,116553.0,321,POINT (-79.477289 43.624176)
321,Air India Sundial,"The Air India Sundial is a part of a memorial monument built in 2007, honouring the 329 victims of the bombing of Air India Flight 182 on June 23, 1985. The flight was on route to Delhi from Montreal, when it was bombed over the Atlantic Ocean off the so",,,Public Art,"-79.475587,43.623094",306754.316,4831240.023,-79.475587,43.623094,116554.0,322,POINT (-79.475587 43.623094)
322,Wave,"Invited by Lakeshore Arts, artists Patrick Thompson and Alexa Hatanaka designed this 7.32-metre-long art installation in 2012 on a fence adjacent to Amos Waites Park, where families, children and dog-walkers gather throughout the day and early evening. T",,,Public Art,"-79.488264,43.613860",305731.343,4830213.974,-79.488264,43.61386,116555.0,323,POINT (-79.488264 43.61386)
323,Birds & Beans Café mural,"Birds & Beans Café is a well-known neighbourhood favourite. Its upper east wall and the façade of the second storey are covered with a colourful mural created in 2006 by local artist Gordon Roy. Taking inspiration from migratory birds and coffee trees, t",,,Public Art,2413 Lake Shore Blvd W,305678.386,4830229.874,-79.4889233195,43.6140117524,116556.0,324,POINT (-79.488923319455 43.6140117524413)
324,Fowl Play,"The Fowl Play mural is on the west side of the building. In 2013, under the direction of Lakeshore Arts and with the support of StreetARToronto, artists Alexa Hatanaka and Patrick Thompson explored the theme of water by creating a vista depicting the mar",,,Public Art,"-79.488949,43.613977",305676.05,4830226.965,-79.488949,43.613977,116557.0,325,POINT (-79.48894900000001 43.613977)
325,Generations,Generations was painted as a gift to the Mimico community. It is a large mural on the walls of the underpass and represents Mimico's history from presettlement to the advent of the railway to Mimico today. The east wall depicts the land prior to settleme,,,Public Art,"-79.498201,43.615768",304929.251,4830425.903,-79.498201,43.615768,116558.0,326,POINT (-79.49820099999999 43.615768)
326,Inspiration,"Student Artists of the Lakeshore Area (SALA) painted this mural during the summer of 2006. Prior to the mural being painted, the wall had been repeatedly vandalized. Students collaborated with local community members, business owners and other stakeholde",,,Public Art,2318 Lake Shore Blvd W,305779.371,4830626.924,-79.4876716152,43.6175856232,116559.0,327,POINT (-79.48767161515219 43.6175856231789)
327,Lakeshore on the Level,This hardware-themed mural was commissioned by Lakeshore Arts and Home Hardware in 2000. Artist Matthew Hansen painted this mural depicting a person's hand holding nails with a toolbox in the foreground. Water is a theme common to many of the local mural,,,Public Art,"-79.4890674511,43.6148857874",305666.477,4830327.926,-79.4890674511,43.6148857874,116688.0,328,POINT (-79.4890674511 43.6148857874)
328,Articulate murals,"Twelve youth ages 12 to 17 from the Lakeshore Arts program ARTiculate: Youth Leadership in the Arts used their community as inspiration to design their own mini murals. The youth brightened up parking stanchions with painted images of water, fish, sailbo",,,Public Art,2399 Lake Shore Blvd W,305717.643,4830301.874,-79.4884368573,43.6146598066,116561.0,329,POINT (-79.48843685727449 43.6146598066057)
329,Lakeshore Aquarium,"In the summer of 1999, the Equally Healthy Kids Graffiti Transformation Project Team painted this mural. Student artists included Emanuel Antwi, Julia Jagielowicz, Anna Recknagel, Breanne Woods, Raffael Islesias, Janet Kilbreath and Amanda Primeau. This",,,Public Art,2454 Lake Shore Blvd W,305610.59,4830182.23,-79.489760042,43.613574389,116562.0,330,POINT (-79.489760042 43.613574389)
330,In Perspective,A contest was held as part of the mural painting process at this location and residents were invited to submit their photos for a chance to have their likeness incorporated into the art piece. Pictured in the mural is a bearded man walking on the path an,,,Public Art,2458 Lake Shore Blvd W,305609.99,4830165.156,-79.4897675,43.613420701,116563.0,331,POINT (-79.4897675 43.613420701)
331,Down the Creek Way,"Down the Creek Way is the colourful mural on the right depicting a nostalgic view of swimmers about to bathe in Mimico Creek circa 1920s. The mural was painted in 2012.Lakeshore Arts, with support from Toronto Economic Development & Culture's Mural Proje",,,Public Art,2491 Lake Shore Blvd W,305647.147,4830105.008,-79.4893105217,43.6128878274,116564.0,332,POINT (-79.4893105216626 43.6128878274122)
332,Morning Ice Harvest on the Humber,"Morning Ice Harvest on the Humber honours those who gathered ice from the Humber River ¿ a necessary commodity in the days before air conditioning and refrigeration. The mural was painted in 2012.Lakeshore Arts, with support from Toronto Economic Develop",,,Public Art,2491 Lake Shore Blvd W,305647.147,4830105.008,-79.4893105217,43.6128878274,116585.0,333,POINT (-79.4893105216626 43.6128878274122)
333,Seasons,Local artist and a long-time resident Gordon Roy painted this mural circa 2011. The mural depicts four scenes by the lake. On the far left is a summer scene with a silhouette of Toronto's skyline. The second scene shows dawn or sunset with colours reflec,,,Public Art,2749 Lake Shore Blvd W,304902.771,4828900.539,-79.4985328696,43.6020464129,116586.0,334,POINT (-79.49853286959561 43.6020464129126)
334,Commemorating 50 years of the Canadian Flag,"The year 2015 marked the 50th anniversary of the Canadian flag. In celebration of this anniversary, local artist Chris Irvine painted this mural. Commissioned by the Lakeshore Village BIA, the mural received the Outstanding Murals award at the Toronto As",,,Public Art,2938 Lake Shore Blvd W,304334.097,4828780.699,-79.5055771522,43.6009677696,116587.0,335,POINT (-79.5055771521632 43.6009677696478)
